"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Semantically Enhanced Scene Captions with Physical and Weather Condition Changes","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QP7,QS3"
"Do DALL-E and Flamingo Understand Each Other?","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"LLaVA-SpaceSGG: Visual Instruct Tuning for Open-Vocabulary Scene Graph Generation","1","2","2","2","1","1","9","5","QP1,QP2,QP6,QS1,QS2"
"HARIS: Human-Like Attention for Reference Image Segmentation","0","2","2","2","0","1","7","4","QP1,QP5,QP6,QS2"
"Exploring Synthetic Captions for Remote Sensing Vision-Text Foundational Models","2","2","2","2","1","1","10","6","QP1,QP6,QP7,QS1,QS2,QS3"
"CLIPAG: Towards Generator-Free Text-to-Image Generation","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"Visual Global-Salient-Guided Network for Remote Sensing Image-Text Retrieval","2","3","3","2","0","2","12","7","QP1,QP2,QP5,QP6,QP7,QS2,QS3"
"Patch Ranking: Token Pruning as Ranking Prediction for Efficient CLIP","0","2","2","2","1","1","8","5","QP1,QP5,QP6,QS1,QS2"
"Construction and Applications of Billion-Scale Pre-Trained Multimodal Business Knowledge Graph","1","2","2","2","1","1","9","6","QP1,QP2,QP3,QP6,QS1,QS2"
"Contrastive Feature Masking Open-Vocabulary Vision Transformer","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"AttriPrompter: Auto-Prompting With Attribute Semantics for Zero-Shot Nuclei Detection via Visual-Language Pre-Trained Models","2","2","2","2","1","2","11","6","QP1,QP3,QP6,QS1,QS2,QS4"
"RILS: Masked Visual Reconstruction in Language Semantic Space","0","2","3","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"PLA: Language-Driven Open-Vocabulary 3D Scene Understanding","2","3","3","2","1","2","13","7","QP1,QP3,QP6,QP7,QS1,QS2,QS3"
"ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic","2","2","2","1","1","1","9","5","QP1,QP6,QP7,QS1,QS3"
"Semantic Image Retrieval Using Scene Graphs and Natural Language Queries","1","2","2","1","0","1","7","4","QP1,QP2,QP6,QS2"
"Mobile User Interface Element Detection Via Adaptively Prompt Tuning","1","2","2","2","1","1","9","6","QP1,QP5,QP6,QS1,QS2,QS3"
"MedKLIP: Medical Knowledge Enhanced Language-Image Pre-Training for X-ray Diagnosis","2","3","3","2","1","2","13","8","QP1,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
"Exploring CLIP's Dense Knowledge for Weakly Supervised Semantic Segmentation","2","3","3","2","1","2","13","6","QP1,QP3,QP5,QP6,QS1,QS2"
"Reasoning to Attend: Try to Understand How SEG Token Works","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Frozen Transformers in Language Models Are Effective Visual Encoder Layers","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"LLM-CXR: Instruction-Finetuned LLM for CXR Image Understanding and Generation","1","2","2","2","1","1","9","6","QP1,QP6,QP7,QS1,QS2,QS4"
"Revisiting Multimodal Representation in Contrastive Learning: From Patch and Token Embeddings to Finite Discrete Tokens","0","2","3","2","1","2","10","6","QP1,QP5,QP6,QP7,QS1,QS2"
"MAGVLT: Masked Generative Vision-and-Language Transformer","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"ConTEXTual Net: A Multimodal Vision-Language Model for Segmentation of Pneumothorax","2","2","2","2","1","1","10","6","QP1,QP5,QP6,QS1,QS3,QS4"
"Multimodal Adaptive Distillation for Leveraging Unimodal Encoders for Vision-Language Tasks","2","2","3","2","0","2","11","7","QP1,QP3,QP5,QP6,QP7,QS1,QS2"
"Active Prompt Learning with Vision-Language Model Priors","2","3","2","2","1","2","12","7","QP1,QP3,QP4,QP5,QP6,QS2,QS3"
"ProbVLM: Probabilistic Adapter for Frozen Vision-Language Models","2","3","3","2","1","2","13","7","QP1,QP4,QP5,QP6,QP7,QS1,QS2"
"Context-Based Semantic-Aware Alignment for Semi-Supervised Multi-Label Learning","2","2","2","2","0","2","10","7","QP1,QP2,QP3,QP5,QP6,QS2,QS3"
"DuSSS: Dual Semantic Similarity-Supervised Vision-Language Model for Semi-Supervised Medical Image Segmentation","2","2","2","2","1","2","11","7","QP1,QP3,QP6,QS1,QS2,QS3,QS4"
"GraphVL: Graph-Enhanced Semantic Modeling via Vision-Language Models for Generalized Class Discovery","2","2","2","2","0","1","9","5","QP1,QP2,QP3,QP6,QS2"
"Data Adaptive Traceback for Vision-Language Foundation Models in Image Classification","1","2","2","1","0","1","7","4","QP1,QP3,QP6,QS2"
"S-CLIP: Semi-supervised Vision-Language Learning using Few Specialist Captions","2","3","3","2","1","2","13","6","QP1,QP3,QP6,QP7,QS1,QS3"
"LViT: Language meets Vision Transformer in Medical Image Segmentation","2","3","3","2","1","2","13","8","QP1,QP3,QP5,QP6,QS1,QS2,QS3,QS4"
"The Dialog Must Go On: Improving Visual Dialog via Generative Self-Training","2","2","2","2","1","1","10","6","QP1,QP3,QP6,QS1,QS2,QS3"
"Learning Multimodal VAEs through Mutual Supervision","2","3","2","2","1","2","12","6","QP1,QP3,QP5,QP6,QP7,QS1,QS2"
"Meta-Entity Driven Triplet Mining for Aligning Medical Vision-Language Models","2","2","2","2","1","2","11","8","QP1,QP4,QP5,QP6,QP7,QS1,QS2,QS4"
"LRSCLIP: A Vision-Language Foundation Model for Aligning Remote Sensing Image with Longer Text","1","2","2","2","1","1","9","5","QP1,QP5,QP6,QP7,QS1"
"Derm1M: A Million-scale Vision-Language Dataset Aligned with Clinical Ontology Knowledge for Dermatology","1","2","2","2","1","2","10","3","QP1,QP6,QP7"
"Anatomy-Aware Conditional Image-Text Retrieval","2","2","2","2","0","2","10","7","QP1,QP5,QP6,QP7,QS2,QS3,QS4"
"Poisoned-MRAG: Knowledge Poisoning Attacks to Multimodal Retrieval Augmented Generation","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
