"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"CL2CM: Improving Cross-Lingual Cross-Modal Retrieval via Knowledge Transfer","2","2","2","2","1","2","11","6","QP1,QP5,QP6,QP7,QS2,QS3"
"VGSG: Vision-Guided Semantic-Group Network for Text-based Person Search","1","2","2","2","1","1","9","5","QP1,QP5,QP6,QP7,QS2"
"GlobalDoc: Cross-Modal VL Framework for Document Retrieval and Classification","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"Towards Fast and Accurate Image-Text Retrieval with Self-Supervised Alignment","1","2","2","1","0","1","7","5","QP1,QP2,QP6,QP7"
"DLIP: Distilling Language-Image Pre-training","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"An Empirical Study of CLIP for Text-based Person Search","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"Boon: A Neural Search Engine for Cross-Modal Information Retrieval","1","2","2","2","1","1","9","5","QP1,QP2,QP6,QP7,QS1"
"Switch-BERT: Learning to Model Multimodal Interactions","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"Enhancing Dynamic Image Advertising with Vision-Language Pre-training","0","1","2","1","0","1","5","3","QP1,QP6,QP7"
"Global and Local Semantic Completion Learning for VLP","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Dense and Aligned Captions (DAC) Promote Compositional Reasoning","1","2","2","1","0","1","7","4","QP1,QP6,QP7"
"Weakly Supervised VLP with Relative Representations","2","2","2","1","0","1","8","5","QP1,QP3,QP6,QP7,QS3"
"Continual VL Representation Learning with Off-Diagonal Information","1","2","2","1","1","1","8","4","QP1,QP6,QP7,QS1"
"ImageBind: One Embedding Space To Bind Them All","0","3","3","2","0","2","10","3","QP1,QP6,QP7"
"An Empirical Study of Multimodal Model Merging","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"VITR: Augmenting Vision Transformers with Relation-Focused Learning","1","2","2","2","0","1","8","5","QP1,QP2,QP6,QP7"
"Position-guided Text Prompt for VLP","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Vision and Structured-Language Pretraining for Cross-Modal Food Retrieval","1","2","2","1","0","1","7","5","QP1,QP6,QP7,QS4"
"SLAN: Self-Locator Aided Network for Cross-Modal Understanding","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"Seeing What You Miss: VLP with Semantic Completion Learning","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
